,subaru,cadillac,bmw,mercury,lincoln,volkswagen,toyota,infiniti,pontiac,chevrolet,volvo,audi,suzuki,honda,nissan,acura,ford,benz,seat,mazda,buick,problem,mitsubishi,sedan,kia,dodge,chrysler,saturn
subaru,1.0,1.2486470997472991,1.2723392904774606,1.2821685411078425,1.2276399913419074,1.31848521217535,1.243487796423652,1.2178176574010122,1.2279514876367927,1.254538302202051,1.3217952056339084,1.250590957451338,1.252340377979874,1.281639106256545,1.232617021743114,1.315551109678836,1.2670464480869736,1.2818952367880627,1.2673093390334933,1.3110526375944733,1.240829872590335,1.2949881873261442,1.2207145906231645,1.296972323191096,1.2535709505272528,1.2913496509122009,1.3206954932820871,1.2679532970309697
cadillac,1.2486470997472991,1.0,1.2542893725992317,1.2691914857597124,1.2487197588325682,1.2468040674394385,1.2335297409587545,1.2255899854903995,1.2440181306784064,1.2428375365642887,1.2750810342543861,1.275794454019313,1.251293940010509,1.2571357771669507,1.2298381297863255,1.2715254004789718,1.2494255861435686,1.2529575807300406,1.2309881264594817,1.2772033628390465,1.2789239060705981,1.2644046094750319,1.2173508918569282,1.242809864862052,1.277094325285075,1.2622829524237973,1.2407589078470316,1.2303123991547213
bmw,1.2723392904774606,1.2542893725992317,1.0,1.6590999601752292,1.2669826224328593,1.269353128313892,1.238749046529367,1.2358537806710066,1.2326103216155573,1.3999340586877678,1.821640903686088,1.260041194644696,1.2808988764044944,1.2723870622828122,1.220933102937546,1.3039134054954205,1.3746071653048397,1.5493527508090614,1.2422549517521586,1.327212020033389,1.3466782709602552,1.7723214285714286,1.2233440039399164,1.2632406921866806,1.260486794407043,1.5718575718575718,1.4251913709116215,1.2428861788617886
mercury,1.2821685411078425,1.2691914857597124,1.6590999601752292,1.0,1.3002294905050742,1.2764620399827187,1.2505362876772157,1.2414081097751766,1.2426003718765828,1.4476363348447838,1.8752210843039736,1.2647748464941693,1.2965956745909224,1.2843781400863201,1.2259069228939936,1.3241763993079354,1.4111385704283932,1.5465930488375421,1.2474315652065397,1.328600457375417,1.3921917338009249,1.8498961711327302,1.2248495195383111,1.2639718223560434,1.2647613060792482,1.649541673436536,1.4875397243083808,1.2470536145026923
lincoln,1.2276399913419074,1.2487197588325682,1.2669826224328593,1.3002294905050742,1.0,1.2264366410406324,1.2230934503646989,1.2469335915405493,1.2285199377331086,1.2565830628749888,1.3063074063012075,1.2469975796248118,1.264358392000971,1.232024789985697,1.2212640596481226,1.2408476524083185,1.2573192612870778,1.267487060980826,1.2185317925475196,1.2443212504135528,1.314572753161429,1.2959123222748814,1.2179325839141608,1.226392716835759,1.2489879243593276,1.28993809878486,1.2486885563694476,1.218147548774066
volkswagen,1.31848521217535,1.2468040674394385,1.269353128313892,1.2764620399827187,1.2264366410406324,1.0,1.2409610714354087,1.217693454285352,1.2260821447276617,1.2512591259314736,1.3208282318050395,1.2494498461753525,1.2514418709683643,1.2777218877798764,1.230663756091802,1.3067936493360517,1.2630697727740814,1.277296173130579,1.263621122090171,1.303427239106535,1.2401858040603337,1.2870919178912288,1.2201258485717412,1.2908017067220672,1.2527918380302845,1.2942801914169888,1.3126424719815866,1.2635896507427427
toyota,1.243487796423652,1.2335297409587545,1.238749046529367,1.2505362876772157,1.2230934503646989,1.2409610714354087,1.0,1.2210026201264776,1.2278717635325636,1.2583004024968505,1.2637359481178954,1.2356167662099171,1.2212994626282363,1.2478460891953047,1.2160614509273229,1.2592975074659865,1.2441263572124093,1.250208796697433,1.2380429585088062,1.2567913780078983,1.2322001296594665,1.2519977479931712,1.2143191613928779,1.2326287017026543,1.23870533139038,1.2516602905618925,1.2310409519507421,1.2383490539710889
infiniti,1.2178176574010122,1.2255899854903995,1.2358537806710066,1.2414081097751766,1.2469335915405493,1.217693454285352,1.2210026201264776,1.0,1.22129092416985,1.2390824944967733,1.2481564201236457,1.2277040689767917,1.2321183755301224,1.219083369775326,1.2144852677683522,1.2237340190135328,1.2294526012777809,1.2326337402543945,1.2178628531929434,1.2261018127079324,1.2471564904653178,1.2434947063452322,1.2192013703885058,1.2144593397700116,1.2288629733829124,1.240599638196033,1.2226934695710931,1.2175275107783627
pontiac,1.2279514876367927,1.2440181306784064,1.2326103216155573,1.2426003718765828,1.2285199377331086,1.2260821447276617,1.2278717635325636,1.22129092416985,1.0,1.241228888936565,1.2443485527759421,1.2436833722710536,1.2292306376832354,1.2425733003286672,1.219184886587803,1.2403442572891243,1.232860419515722,1.2274094137561835,1.2253631107648482,1.245184534960689,1.2458486478690707,1.2410068739537699,1.2164896694150185,1.2236930507177626,1.2446352540869936,1.2348067695861262,1.2231499076912185,1.2250356235798707
chevrolet,1.254538302202051,1.2428375365642887,1.3999340586877678,1.4476363348447838,1.2565830628749888,1.2512591259314736,1.2583004024968505,1.2390824944967733,1.241228888936565,1.0,1.6308909565136256,1.2410684665724743,1.2516147947748653,1.2589837546588347,1.216764524648353,1.2824972119526359,1.334057817392301,1.4251272677996194,1.2604703601504157,1.2682785776418586,1.299887486559938,1.4704323866044933,1.2247287552590875,1.2413702722248934,1.2417353526878427,1.4653624940469647,1.3554220668448507,1.2606920085026765
