,word,frequency
0,the,27009
1,a,12366
2,and,11313
3,i,10525
4,to,10232
5,is,7820
6,of,7204
7,in,6864
8,that,6007
9,car,5886
10,it,5562
11,you,5094
12,for,4741
13,with,3873
14,on,3591
15,but,3470
16,not,3403
17,,3209
18,have,3171
19,my,3008
20,are,2984
21,as,2981
22,be,2597
23,bmw,2448
24,or,2249
25,if,2150
26,they,2069
27,was,2064
28,this,1961
29,at,1935
30,tl,1866
31,like,1844
32,all,1830
33,about,1820
34,more,1773
35,than,1644
36,an,1617
37,what,1585
38,me,1580
39,so,1577
40,one,1550
41,just,1526
42,can,1485
43,has,1484
44,would,1469
45,will,1434
46,get,1407
47,g35,1311
48,out,1292
49,do,1276
50,your,1261
51,think,1218
52,from,1210
53,no,1120
54,acura,1115
55,there,1110
56,when,1083
57,drive,1008
58,better,986
59,some,968
60,new,956
61,by,948
62,3,947
63,up,940
64,good,939
65,sedan,929
66,performance,923
67,much,917
68,audi,914
69,only,902
70,any,898
71,had,879
72,people,868
73,their,851
74,even,846
75,other,814
76,really,810
77,how,767
78,want,755
79,its,755
80,know,746
81,well,742
82,driving,738
83,very,730
84,over,727
85,best,724
86,also,711
87,most,704
88,we,698
89,too,696
90,luxury,693
91,way,691
92,which,690
93,rwd,682
94,them,675
95,same,674
96,because,673
97,then,673
98,nissan,667
99,honda,662
100,price,648
101,say,637
102,still,628
103,330i,626
104,now,623
105,engine,604
106,does,598
107,time,594
108,buy,589
109,did,588
110,series,587
111,who,585
112,am,578
113,back,577
114,make,574
115,subaru,574
116,been,573
117,fwd,565
118,these,565
119,see,553
120,why,552
121,infiniti,538
122,awd,537
123,were,531
124,go,526
125,great,518
126,here,514
127,many,514
128,handling,514
129,g,509
130,test,505
131,could,504
132,interior,499
133,those,496
134,power,495
135,hp,488
136,sure,485
137,going,480
138,should,474
139,lexus,469
140,look,466
141,less,465
142,manual,465
143,years,460
144,tires,444
145,both,440
146,take,435
147,right,433
148,toyota,426
149,while,426
150,two,420
151,feel,419
152,into,418
153,said,418
154,point,412
155,seat,411
156,may,411
157,sales,409
158,never,404
159,edmunds,401
160,got,401
161,sport,396
162,mb,386
163,different,385
164,2,375
165,little,375
166,problem,375
167,own,374
168,need,374
169,down,371
170,being,370
171,thing,364
172,around,360
173,road,357
174,lot,357
175,torque,356
176,year,355
177,where,350
178,5,348
179,class,348
180,cts,347
181,come,343
182,off,342
183,something,338
184,maybe,334
185,every,332
186,since,324
187,another,321
188,looking,319
189,first,319
190,believe,316
191,value,316
192,getting,316
193,probably,315
194,difference,315
195,fun,314
196,after,310
197,nice,310
198,coupe,310
199,etc,309
200,mph,308
201,vehicle,306
202,between,306
203,package,303
204,last,301
205,actually,300
206,snow,295
207,few,293
208,makes,292
209,he,291
210,agree,290
211,1,289
212,speed,286
213,again,281
214,driven,281
215,long,280
216,6,279
217,course,278
218,gas,278
219,fact,274
220,yet,272
221,auto,271
222,without,271
223,big,271
224,money,270
225,looks,270
226,pretty,269
227,325i,269
228,top,268
229,far,268
230,though,268
231,yes,267
232,find,265
233,love,265
